"","comuna_name","year","geography_unit","weighted_mean_income","weighted_median_income","weighted_gini_income","lb_weighted_mean_income","ub_weighted_mean_income","lb_weighted_median_income","ub_weighted_median_income","lb_weighted_gini_income","ub_weighted_gini_income"
"163","Calera",2015,3,180335,127537,0.409,168749,197186,120056,140443,0.366,0.441
"164","Calera",1990,3,52805,28693,0.564,48047,56915,26705,30885,0.531,0.589
"165","Calera",1998,3,179760,96369,0.547,164456,194268,86696,104706,0.525,0.569
"166","Calera",1996,3,114571,65986,0.502,106740,125697,59289,77166,0.477,0.529
"167","Calera",2006,3,129725,85860,0.471,120971,137634,78628,93250,0.439,0.506
"168","Calera",2011,3,126164,88480,0.404,117250,136037,84735,96284,0.376,0.432
"169","Calera",1994,3,106784,64654,0.494,100262,112371,62201,70639,0.473,0.514
"170","Calera",2000,3,164174,102364,0.47,154712,179886,94407,110368,0.451,0.488
"171","Calera",1992,3,74402,39708,0.556,67397,81234,36452,43038,0.525,0.584
"172","Calera de Tango",1990,3,21718,15348,0.44,20227,23521,14634,15779,0.41,0.469
"173","Calera de Tango",2003,3,106071,67175,0.48,97037,118401,62286,73679,0.443,0.527
"174","Calera de Tango",2000,3,91188,55405,0.456,83956,98923,53497,58568,0.428,0.476
"175","Calera de Tango",2009,3,164571,109453,0.451,149542,184837,104383,113676,0.409,0.506
"176","Calera de Tango",2006,3,203089,108750,0.531,186173,220310,104018,113776,0.506,0.555
"177","Calera de Tango",1998,3,131452,54018,0.67,95810,181999,51060,59408,0.549,0.756
"178","Calera de Tango",1994,3,40699,27220,0.455,36623,44565,26264,28620,0.408,0.487
"179","Calera de Tango",2011,3,332197,137061,0.616,265520,424496,125296,154068,0.533,0.675
"180","Calera de Tango",1992,3,41270,25841,0.498,35412,47127,24337,27229,0.431,0.552
"181","Calle Larga",1994,3,51075,35605,0.413,47399,54670,34718,39138,0.387,0.433
"182","Calle Larga",1998,3,67491,44972,0.439,63867,72572,42527,47753,0.416,0.466
"183","Calle Larga",2000,3,96743,43369,0.61,68347,159426,41124,46508,0.452,0.756
"184","Calle Larga",2009,3,176618,120133,0.419,163805,190599,111543,130735,0.39,0.452
"185","Calle Larga",2011,3,221593,135801,0.439,194138,257259,133243,168686,0.377,0.484
"186","Calle Larga",2006,3,96613,75372,0.369,90682,101373,70238,79700,0.343,0.39
"187","Calle Larga",2003,3,80474,59992,0.433,74958,87069,53737,62224,0.403,0.464
"188","Camarones",2009,3,203588,145966,0.482,180930,229567,137480,165068,0.434,0.538
"189","Camarones",2011,3,235284,171758,0.442,189142,274817,129389,239623,0.377,0.497
"190","Camiña",2011,3,203596,155615,0.408,171735,263765,131797,206060,0.342,0.53
"191","Camiña",2009,3,120703,95540,0.385,113543,130952,83734,105279,0.364,0.407
"192","Canela",2003,3,64511,37500,0.519,57514,76948,35111,44902,0.471,0.585
"193","Canela",2011,3,124576,78449,0.467,109800,141988,72275,81568,0.415,0.509
"194","Canela",1998,3,55745,33222,0.522,48155,67463,30838,36729,0.462,0.595
"195","Canela",2009,3,105345,82391,0.384,97921,111920,75724,86759,0.36,0.407
"196","Canela",1994,3,53787,26376,0.584,46656,62701,24800,28917,0.533,0.631
"197","Canela",2000,3,53474,34867,0.45,49711,58045,33200,39606,0.431,0.467
